Gender,Height,Weight
Male,69.8938135929651,91.08002942733759
Female,60.6789777914626,54.7117121816304
Female,67.59958557315329,72.56094392843076
Female,59.5883950963049,52.26088821404142
Female,57.654885027864296,44.84978025491886
Female,60.1834384808811,45.0667415923835
Male,71.0641053823961,91.02891184906879
Male,71.35738241268241,91.51725779619663
Male,70.18535204699,89.75900929464262
Male,67.9304599001737,81.17769220212419
Male,68.0117487265409,79.38560407419828
Male,69.1969826515158,88.11393700392676
Male,69.4463907052094,90.18688801798453
Female,64.32354378382749,63.03886086212364
Male,70.7320604266085,89.72606718760422
Male,68.2788418439826,83.20211939912457
Male,73.84729364715591,94.50969512674838
Female,60.7739389820502,51.91271277934111
Female,66.1244961715813,73.81334713531993
Male,70.8112617091695,91.27390531411264
Female,58.417163446819,43.7364130801945
Female,63.2819878471528,58.28208684126971
Male,70.79430254581341,92.0298091397724
Male,68.1011134090994,82.94055170385236
Male,65.6675544806922,79.18228803226272
Male,70.54927971743629,86.78085603617403
Female,67.0223707095967,73.49409530743439
Male,73.18107490856309,101.33155479402981
Female,60.5418681848476,46.514043632248644
Male,73.358436641133,98.60635603370105
Male,62.063835838707504,79.41104199746941
Male,64.5852633931835,71.46656182976477
Female,62.8672442281689,73.1502006743738
Female,63.265579815400706,67.57818390181845
Male,66.4520384909345,79.33966700743575
Male,67.13517490286921,80.73244420534333
Female,66.1685183044283,78.02115465042365
Male,69.3803026970744,88.33700298667073
Male,65.4482702587067,71.2609122677727
Male,70.8569501677738,89.6877008472213
Male,68.27535972688639,79.91357641743612
Male,66.8567174373183,76.8276713425298
Female,63.1534331787895,61.970585668096554
Male,70.2800864760863,84.78662249129964
Male,67.9451830843268,80.25689470514557
Female,60.8149266614059,49.9592739704448
Male,75.5794443353472,108.56013295501403
Female,61.190048852778396,52.039788090445526
Male,68.793425111898,77.34826685497049
Male,68.9416586042578,78.19150100402611
Male,65.12073518167,70.93151832030871
Female,62.67523944844461,62.43744555205614
Male,71.82777662291441,90.25299837253587
Female,60.96991272521811,52.26667902379096
Female,59.030302278083894,48.852521778281066
Male,68.9386792374231,80.83447551168229
Female,60.9662640820926,49.87087779557203
Female,60.967807186911,52.39110072991764
Female,62.6041035041875,52.075323219833805
Female,66.4757110932144,74.7817703905748
Female,61.6306358437811,64.40132413488129
Male,68.1739637087841,81.22503624095175
Male,72.7619063895942,102.84591227751632
Female,58.8924736386833,47.36574201567391
Female,60.1908582824432,53.50378668618538
Female,66.82440769386729,75.28110577116512
Female,59.0982500313486,50.13548170798097
Female,67.1224220901005,74.99020206815462
Male,64.6366312274614,73.66667575301867
Female,65.177100228481,61.08592370883418
Female,56.63041197643821,40.58771138470938
Female,63.8080495407049,63.90603939092906
Female,66.4065527455098,73.10838980157942
Male,70.534667254932,92.42558424213154
Female,67.86314293444279,73.94598893599714
Female,62.011916932037295,56.82891398737923
Female,66.54760855790279,71.25525155498454
Male,76.4929339594115,103.02877410822909
Female,61.5046182003953,55.4684031704897
Male,76.60018295457621,108.72495351916795
Male,71.9674817033336,104.10615117357959
Male,74.0802749473551,88.3503072324505
Male,69.4376478885438,88.65354850089813
Female,66.2519230758127,56.254554904747316
Male,68.2777592692468,82.64708661034375
Male,70.66024964130109,84.2571782852029
Female,64.4460036682061,64.78269118087745
Female,66.2136806163984,64.82592634958407
Male,73.97600524249779,97.16109200845315
Male,70.32349210340999,83.3802594786825
Male,70.35855760378101,83.18157876841543
Male,69.7415958786736,83.31454034963987
Female,64.0191966372703,64.0364276010714
Male,70.86876641412971,91.59471253301703
Female,61.307679849656296,59.97729913191254
Male,67.38277715495971,83.78600925983979
Female,64.8539766018777,71.86980204224174
Male,68.61756839405271,83.07019972193848
Male,69.5042374371988,85.57717198372781
Female,59.76136963567579,47.14826987203146
Female,65.5633590016224,64.0889515067549
Male,72.3674921385285,99.06222147479475
Female,61.4046834621872,55.79872009354583
Female,60.443789129043,49.753846817065075
Male,73.2839179655908,98.83609862122634
Female,64.5868557403,66.75952521567073
Female,69.3217453937076,71.2875184978096
Female,64.4352331456538,55.59400416684599
Male,67.903612050282,80.4458771825893
Male,70.7963452377364,87.22281774680353
Female,58.83909387927179,46.65114550905236
Male,71.05336754456701,96.21199081221346
Male,71.2016596829157,95.33156287506374
Male,69.5431163518097,85.31668344137812
Female,67.4643693664088,79.75853410836064
Male,72.1771929263436,98.66441252966092
Female,65.9332551594691,66.97741054136314
Female,63.271892952732,64.86117326793644
Female,64.5549343258853,61.029412654133594
Female,63.8025950000515,57.97311734610137
Female,60.6843760788939,53.55920598511943
Female,65.4935300866689,61.189686597677614
Male,71.8344661389853,94.66177189460679
Female,61.9122540809676,61.912807958161046
Male,69.8445640844681,90.09728578808004
Male,71.1161766271985,91.92328805781133
Female,62.2492144489699,52.89156439818382
Male,68.03290834256839,82.89045730370269
Female,61.2923629781984,53.673897074544826
Female,59.7616961246051,48.163196381863095
Female,62.934926214800605,60.153915582177426
Male,69.37895011931171,88.21880521106995
Male,66.6678935095837,80.2327101394186
Male,72.118646751665,95.6661174166369
Male,68.3951917160158,89.71520735257369
Male,69.8595879120267,89.38994300961845
Female,62.694663320377394,51.41246962900954
Female,66.81189039961,63.4061541580404
Male,68.46516343933929,83.31271106833196
Male,67.6122197276871,86.37157586030065
Female,58.847580762803794,53.399992782203284
Male,71.5938315174582,92.18436256483159
Female,61.616870972038406,53.13096446323856
Male,69.33682152588679,83.51526126371347
Female,60.30386756793779,54.71344819823916
Female,60.842740357094605,59.559213904980005
Female,62.0997287374862,62.87106139063195
Female,69.1192918242978,76.59569576461296
Female,59.2446461531754,47.59043532798079
Male,67.5167678484563,71.71908976526703
Female,63.7430398445612,57.2860458115131
Male,72.7317876678943,96.92552158926846
Male,69.7678456329977,88.27102235240042
Female,64.7256018545135,71.6549247448236
Male,72.2975838279981,96.18811721740437
Female,59.6852396536592,49.09691583099128
Female,66.721445444981,67.3239659675028
Female,61.630455885393495,59.65866839431241
Male,66.2262530887009,75.3203004908211
Female,60.6843760788939,53.55920598511943
Male,66.6415689050248,70.65336148942585
Male,64.77423740371529,82.82145861608261
Male,73.9338806181208,99.13277265652313
Male,72.44521271945841,94.94761971076377
Male,68.82198028597121,89.63757371340006
Female,63.944405687458804,57.5965783246927
Female,63.8072524431298,63.32322485004173
Female,67.4502833890771,76.43814677595776
Female,63.141208873533,62.8913271859858
Male,66.39285492606011,84.39852586326668
Female,60.4664773263,51.18860017643268
Male,70.11434362938981,92.18900844713329
Male,67.2224674889485,80.07649035206114
Female,64.6232920305636,61.05860208597672
Female,60.8589900079646,51.80667617318087
Female,57.9231593597871,45.604250547497536
Female,64.0375769777106,60.244476345318475
Female,64.2617237107347,55.51225703416552
Male,68.3712696379176,84.15806742193124
Male,63.4920992472081,72.79726254601883
Male,69.5782389725199,83.56080329243318
Female,65.1081200254628,71.4791841804633
Female,59.24256798667621,52.04567895900881
Female,66.7661566062845,69.37449766787202
Male,65.49726246219339,79.57255573387206
Female,65.5415388083143,61.09854016631166
Male,66.2547135903433,81.30770014408107
Male,71.5801231387686,93.14421360874664
Female,62.95254098435329,54.73662763525778
Female,64.67878000362471,59.71654299206576
Female,62.2828659521288,51.46976075426559
Male,65.9756468309282,80.8733913929947
Male,70.09723764503839,91.62292278196925
Female,64.76525451398949,70.79291920954405
Female,67.72908192159329,66.90761730932452
Female,66.8873234452573,73.87779002654018
Female,64.46788929962811,57.99309470155901
Female,67.1565377813676,73.75181312240748
Female,64.9814987272783,63.684792173360044
Male,68.180093074225,78.45438715413722
Female,66.1992832819946,81.96347538300479
Female,62.071202111297296,55.62581935650044
Female,69.804816962785,78.93762162084985
Male,70.9497700994047,88.11353034174823
Male,74.216430944514,108.2134113255137
Male,62.562141478974,74.41281616360327
Female,59.125031484915,41.05958577723154
Male,63.618717286077995,73.78821528574676
Male,66.1089024472783,82.95096159274841
Male,68.9855539478644,84.52336550131905
Male,69.08066651131601,79.10256118845244
Female,60.5611799130383,52.73857464438679
Male,69.1260223378865,86.49658683297848
Female,62.044035447391,51.92673717173845
Female,59.7764551910631,54.76845796636065
Female,63.9529930556816,63.8668415047895
Male,71.2844413912849,90.55316860889269
Female,64.4097945427114,61.79979248076449
Male,70.46707885403609,89.4428663584949
Female,62.678265448176,54.842076518092924
Male,71.19831617803621,83.29656984683349
